;total_bill;tip;sex;smoker;day;time;size;percentual_tip;number
47;32.4;6.0;Male;No;Sun;Dinner;4;18.52;1
48;28.55;2.05;Male;No;Sun;Dinner;3;7.18;1
49;18.04;3.0;Male;No;Sun;Dinner;2;16.63;1
50;12.54;2.5;Male;No;Sun;Dinner;2;19.94;1
51;10.29;2.6;Female;No;Sun;Dinner;2;25.27;1
52;34.81;5.2;Female;No;Sun;Dinner;4;14.94;1
53;9.94;1.56;Male;No;Sun;Dinner;2;15.69;1
54;25.56;4.34;Male;No;Sun;Dinner;4;16.98;1
55;19.49;3.51;Male;No;Sun;Dinner;2;18.01;1
56;38.01;3.0;Male;Yes;Sat;Dinner;4;7.89;7
57;26.41;1.5;Female;No;Sat;Dinner;2;5.68;7
58;11.24;1.76;Male;Yes;Sat;Dinner;2;15.66;7
59;48.27;6.73;Male;No;Sat;Dinner;4;13.94;7
60;20.29;3.21;Male;Yes;Sat;Dinner;2;15.82;7
61;13.81;2.0;Male;Yes;Sat;Dinner;2;14.48;7
62;11.02;1.98;Male;Yes;Sat;Dinner;2;17.97;7
63;18.29;3.76;Male;Yes;Sat;Dinner;4;20.56;7
64;17.59;2.64;Male;No;Sat;Dinner;3;15.01;7
65;20.08;3.15;Male;No;Sat;Dinner;3;15.69;7
66;16.45;2.47;Female;No;Sat;Dinner;2;15.02;7
67;3.07;1.0;Female;Yes;Sat;Dinner;1;32.57;7
68;20.23;2.01;Male;No;Sat;Dinner;2;9.94;7
69;15.01;2.09;Male;Yes;Sat;Dinner;2;13.92;7
70;12.02;1.97;Male;No;Sat;Dinner;2;16.39;7
71;17.07;3.0;Female;No;Sat;Dinner;3;17.57;7
72;26.86;3.14;Female;Yes;Sat;Dinner;2;11.69;7
73;25.28;5.0;Female;Yes;Sat;Dinner;2;19.78;7
74;14.73;2.2;Female;No;Sat;Dinner;2;14.94;7
75;10.51;1.25;Male;No;Sat;Dinner;2;11.89;7
76;17.92;3.08;Male;Yes;Sat;Dinner;2;17.19;7
77;27.2;4.0;Male;No;Thur;Lunch;4;14.71;5
78;22.76;3.0;Male;No;Thur;Lunch;2;13.18;5
79;17.29;2.71;Male;No;Thur;Lunch;2;15.67;5
80;19.44;3.0;Male;Yes;Thur;Lunch;2;15.43;5
81;16.66;3.4;Male;No;Thur;Lunch;2;20.41;5
82;10.07;1.83;Female;No;Thur;Lunch;1;18.17;5
83;32.68;5.0;Male;Yes;Thur;Lunch;2;15.3;5
84;15.98;2.03;Male;No;Thur;Lunch;2;12.7;5
85;34.83;5.17;Female;No;Thur;Lunch;4;14.84;5
86;13.03;2.0;Male;No;Thur;Lunch;2;15.35;5
87;18.28;4.0;Male;No;Thur;Lunch;2;21.88;5
88;24.71;5.85;Male;No;Thur;Lunch;2;23.67;5
89;21.16;3.0;Male;No;Thur;Lunch;2;14.18;5
90;28.97;3.0;Male;Yes;Fri;Dinner;2;10.36;6
91;22.49;3.5;Male;No;Fri;Dinner;2;15.56;6
92;5.75;1.0;Female;Yes;Fri;Dinner;2;17.39;6
93;16.32;4.3;Female;Yes;Fri;Dinner;2;26.35;6
94;22.75;3.25;Female;No;Fri;Dinner;2;14.29;6
95;40.17;4.73;Male;Yes;Fri;Dinner;4;11.77;6
96;27.28;4.0;Male;Yes;Fri;Dinner;2;14.66;6
97;12.03;1.5;Male;Yes;Fri;Dinner;2;12.47;6
98;21.01;3.0;Male;Yes;Fri;Dinner;2;14.28;6
99;12.46;1.5;Male;No;Fri;Dinner;2;12.04;6
100;11.35;2.5;Female;Yes;Fri;Dinner;2;22.03;6
101;15.38;3.0;Female;Yes;Fri;Dinner;2;19.51;6
102;44.3;2.5;Female;Yes;Sat;Dinner;3;5.64;7
103;22.42;3.48;Female;Yes;Sat;Dinner;2;15.52;7
104;20.92;4.08;Female;No;Sat;Dinner;2;19.5;7
105;15.36;1.64;Male;Yes;Sat;Dinner;2;10.68;7
106;20.49;4.06;Male;Yes;Sat;Dinner;2;19.81;7
107;25.21;4.29;Male;Yes;Sat;Dinner;2;17.02;7
108;18.24;3.76;Male;No;Sat;Dinner;2;20.61;7
109;14.31;4.0;Female;Yes;Sat;Dinner;2;27.95;7
110;14.0;3.0;Male;No;Sat;Dinner;2;21.43;7
111;7.25;1.0;Female;No;Sat;Dinner;1;13.79;7
112;38.07;4.0;Male;No;Sun;Dinner;3;10.51;1
113;23.95;2.55;Male;No;Sun;Dinner;2;10.65;1
114;25.71;4.0;Female;No;Sun;Dinner;3;15.56;1
115;17.31;3.5;Female;No;Sun;Dinner;2;20.22;1
116;29.93;5.07;Male;No;Sun;Dinner;4;16.94;1
117;10.65;1.5;Female;No;Thur;Lunch;2;14.08;5
118;12.43;1.8;Female;No;Thur;Lunch;2;14.48;5
119;24.08;2.92;Female;No;Thur;Lunch;4;12.13;5
120;11.69;2.31;Male;No;Thur;Lunch;2;19.76;5
121;13.42;1.68;Female;No;Thur;Lunch;2;12.52;5
122;14.26;2.5;Male;No;Thur;Lunch;2;17.53;5
123;15.95;2.0;Male;No;Thur;Lunch;2;12.54;5
124;12.48;2.52;Female;No;Thur;Lunch;2;20.19;5
125;29.8;4.2;Female;No;Thur;Lunch;6;14.09;5
126;8.52;1.48;Male;No;Thur;Lunch;2;17.37;5
127;14.52;2.0;Female;No;Thur;Lunch;2;13.77;5
128;11.38;2.0;Female;No;Thur;Lunch;2;17.57;5
129;22.82;2.18;Male;No;Thur;Lunch;3;9.55;5
130;19.08;1.5;Male;No;Thur;Lunch;2;7.86;5
131;20.27;2.83;Female;No;Thur;Lunch;2;13.96;5
132;11.17;1.5;Female;No;Thur;Lunch;2;13.43;5
133;12.26;2.0;Female;No;Thur;Lunch;2;16.31;5
134;18.26;3.25;Female;No;Thur;Lunch;2;17.8;5
135;8.51;1.25;Female;No;Thur;Lunch;2;14.69;5
136;10.33;2.0;Female;No;Thur;Lunch;2;19.36;5
137;14.15;2.0;Female;No;Thur;Lunch;2;14.13;5
138;16.0;2.0;Male;Yes;Thur;Lunch;2;12.5;5
139;13.16;2.75;Female;No;Thur;Lunch;2;20.9;5
140;17.47;3.5;Female;No;Thur;Lunch;2;20.03;5
141;34.3;6.7;Male;No;Thur;Lunch;6;19.53;5
142;41.19;5.0;Male;No;Thur;Lunch;5;12.14;5
143;27.05;5.0;Female;No;Thur;Lunch;6;18.48;5
144;16.43;2.3;Female;No;Thur;Lunch;2;14.0;5
145;8.35;1.5;Female;No;Thur;Lunch;2;17.96;5
146;18.64;1.36;Female;No;Thur;Lunch;3;7.3;5
147;11.87;1.63;Female;No;Thur;Lunch;2;13.73;5
148;9.78;1.73;Male;No;Thur;Lunch;2;17.69;5
149;7.51;2.0;Male;No;Thur;Lunch;2;26.63;5
150;14.07;2.5;Male;No;Sun;Dinner;2;17.77;1
151;13.13;2.0;Male;No;Sun;Dinner;2;15.23;1
152;17.26;2.74;Male;No;Sun;Dinner;3;15.87;1
153;24.55;2.0;Male;No;Sun;Dinner;4;8.15;1
154;19.77;2.0;Male;No;Sun;Dinner;4;10.12;1
155;29.85;5.14;Female;No;Sun;Dinner;5;17.22;1
156;48.17;5.0;Male;No;Sun;Dinner;6;10.38;1
157;25.0;3.75;Female;No;Sun;Dinner;4;15.0;1
158;13.39;2.61;Female;No;Sun;Dinner;2;19.49;1
159;16.49;2.0;Male;No;Sun;Dinner;4;12.13;1
160;21.5;3.5;Male;No;Sun;Dinner;4;16.28;1
161;12.66;2.5;Male;No;Sun;Dinner;2;19.75;1
162;16.21;2.0;Female;No;Sun;Dinner;3;12.34;1
163;13.81;2.0;Male;No;Sun;Dinner;2;14.48;1
164;17.51;3.0;Female;Yes;Sun;Dinner;2;17.13;1
165;24.52;3.48;Male;No;Sun;Dinner;3;14.19;1
166;20.76;2.24;Male;No;Sun;Dinner;2;10.79;1
167;31.71;4.5;Male;No;Sun;Dinner;4;14.19;1
168;10.59;1.61;Female;Yes;Sat;Dinner;2;15.2;7
169;10.63;2.0;Female;Yes;Sat;Dinner;2;18.81;7
170;50.81;10.0;Male;Yes;Sat;Dinner;3;19.68;7
171;15.81;3.16;Male;Yes;Sat;Dinner;2;19.99;7
172;7.25;5.15;Male;Yes;Sun;Dinner;2;71.03;1
173;31.85;3.18;Male;Yes;Sun;Dinner;2;9.98;1
174;16.82;4.0;Male;Yes;Sun;Dinner;2;23.78;1
175;32.9;3.11;Male;Yes;Sun;Dinner;2;9.45;1
176;17.89;2.0;Male;Yes;Sun;Dinner;2;11.18;1
177;14.48;2.0;Male;Yes;Sun;Dinner;2;13.81;1
178;9.6;4.0;Female;Yes;Sun;Dinner;2;41.67;1
179;34.63;3.55;Male;Yes;Sun;Dinner;2;10.25;1
180;34.65;3.68;Male;Yes;Sun;Dinner;4;10.62;1
181;23.33;5.65;Male;Yes;Sun;Dinner;2;24.22;1
182;45.35;3.5;Male;Yes;Sun;Dinner;3;7.72;1
183;23.17;6.5;Male;Yes;Sun;Dinner;4;28.05;1
184;40.55;3.0;Male;Yes;Sun;Dinner;2;7.4;1
185;20.69;5.0;Male;No;Sun;Dinner;5;24.17;1
186;20.9;3.5;Female;Yes;Sun;Dinner;3;16.75;1
187;30.46;2.0;Male;Yes;Sun;Dinner;5;6.57;1
188;18.15;3.5;Female;Yes;Sun;Dinner;3;19.28;1
189;23.1;4.0;Male;Yes;Sun;Dinner;3;17.32;1
190;15.69;1.5;Male;Yes;Sun;Dinner;2;9.56;1
191;19.81;4.19;Female;Yes;Thur;Lunch;2;21.15;5
192;28.44;2.56;Male;Yes;Thur;Lunch;2;9.0;5
193;15.48;2.02;Male;Yes;Thur;Lunch;2;13.05;5
194;16.58;4.0;Male;Yes;Thur;Lunch;2;24.13;5
195;7.56;1.44;Male;No;Thur;Lunch;2;19.05;5
196;10.34;2.0;Male;Yes;Thur;Lunch;2;19.34;5
197;43.11;5.0;Female;Yes;Thur;Lunch;4;11.6;5
198;13.0;2.0;Female;Yes;Thur;Lunch;2;15.38;5
199;13.51;2.0;Male;Yes;Thur;Lunch;2;14.8;5
200;18.71;4.0;Male;Yes;Thur;Lunch;3;21.38;5
201;12.74;2.01;Female;Yes;Thur;Lunch;2;15.78;5
202;13.0;2.0;Female;Yes;Thur;Lunch;2;15.38;5
203;16.4;2.5;Female;Yes;Thur;Lunch;2;15.24;5
204;20.53;4.0;Male;Yes;Thur;Lunch;4;19.48;5
205;16.47;3.23;Female;Yes;Thur;Lunch;3;19.61;5
206;26.59;3.41;Male;Yes;Sat;Dinner;3;12.82;7
207;38.73;3.0;Male;Yes;Sat;Dinner;4;7.75;7
208;24.27;2.03;Male;Yes;Sat;Dinner;2;8.36;7
209;12.76;2.23;Female;Yes;Sat;Dinner;2;17.48;7
210;30.06;2.0;Male;Yes;Sat;Dinner;3;6.65;7
211;25.89;5.16;Male;Yes;Sat;Dinner;4;19.93;7
212;48.33;9.0;Male;No;Sat;Dinner;4;18.62;7
213;13.27;2.5;Female;Yes;Sat;Dinner;2;18.84;7
214;28.17;6.5;Female;Yes;Sat;Dinner;3;23.07;7
215;12.9;1.1;Female;Yes;Sat;Dinner;2;8.53;7
216;28.15;3.0;Male;Yes;Sat;Dinner;5;10.66;7
217;11.59;1.5;Male;Yes;Sat;Dinner;2;12.94;7
218;7.74;1.44;Male;Yes;Sat;Dinner;2;18.6;7
219;30.14;3.09;Female;Yes;Sat;Dinner;4;10.25;7
220;12.16;2.2;Male;Yes;Fri;Lunch;2;18.09;6
221;13.42;3.48;Female;Yes;Fri;Lunch;2;25.93;6
222;8.58;1.92;Male;Yes;Fri;Lunch;1;22.38;6
223;15.98;3.0;Female;No;Fri;Lunch;3;18.77;6
224;13.42;1.58;Male;Yes;Fri;Lunch;2;11.77;6
225;16.27;2.5;Female;Yes;Fri;Lunch;2;15.37;6
226;10.09;2.0;Female;Yes;Fri;Lunch;2;19.82;6
227;20.45;3.0;Male;No;Sat;Dinner;4;14.67;7
228;13.28;2.72;Male;No;Sat;Dinner;2;20.48;7
229;22.12;2.88;Female;Yes;Sat;Dinner;2;13.02;7
230;24.01;2.0;Male;Yes;Sat;Dinner;4;8.33;7
231;15.69;3.0;Male;Yes;Sat;Dinner;3;19.12;7
232;11.61;3.39;Male;No;Sat;Dinner;2;29.2;7
233;10.77;1.47;Male;No;Sat;Dinner;2;13.65;7
234;15.53;3.0;Male;Yes;Sat;Dinner;2;19.32;7
235;10.07;1.25;Male;No;Sat;Dinner;2;12.41;7
236;12.6;1.0;Male;Yes;Sat;Dinner;2;7.94;7
237;32.83;1.17;Male;Yes;Sat;Dinner;2;3.56;7
238;35.83;4.67;Female;No;Sat;Dinner;3;13.03;7
239;29.03;5.92;Male;No;Sat;Dinner;3;20.39;7
240;27.18;2.0;Female;Yes;Sat;Dinner;2;7.36;7
241;22.67;2.0;Male;Yes;Sat;Dinner;2;8.82;7
242;17.82;1.75;Male;No;Sat;Dinner;2;9.82;7
243;18.78;3.0;Female;No;Thur;Dinner;2;15.97;5
